,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
14621,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
14633,Indonesia,INA,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,Bronze
14636,Austria,AUT,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Javelin Throw,Gold
14637,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
14638,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
14639,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
14641,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Polo,Polo Men's Polo,Silver
14647,France,FRA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
14648,France,FRA,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
14651,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Middleweight,Bronze
14652,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's High Jump,Silver
14653,South Africa,RSA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's High Jump,Silver
14657,South Africa,RSA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,Silver
14659,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
14660,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",Gold
14661,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",Silver
14663,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
14664,Japan,JPN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
14665,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,Gold
14666,Japan,JPN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 200 metres Breaststroke,Gold
14667,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Silver
14668,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
14669,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
14670,Philippines,PHI,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Silver
14673,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Bronze
14674,Hilarius,USA,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed Two Person Keelboat,Gold
14675,United States,USA,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
14677,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Silver
14678,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
14682,Norway,NOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
14685,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
14686,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
14687,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 200 metres Breaststroke,Gold
14689,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 800 metres,Gold
14691,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Long Jump,Bronze
14694,Finland,FIN,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Silver
14695,Finland,FIN,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver
14698,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,Bronze
14699,Netherlands,NED,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,Bronze
14702,Germany,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
14704,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Flyweight,Silver
14706,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Nordic Combined,Nordic Combined Men's Individual,Gold
14708,United States,USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
14711,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Silver
14712,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
14719,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Bronze
14720,Japan,JPN,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Flyweight,Silver
14721,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 5,000 metres",Bronze
14723,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,Bronze
14724,Japan,JPN,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
14725,Japan,JPN,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Middleweight,Silver
14726,Japan,JPN,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Horse Vault,Bronze
14729,Japan,JPN,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,Silver
14732,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,Silver
14733,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
14734,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,Bronze
14735,Japan,JPN,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,Silver
14736,Japan,JPN,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
14737,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,Bronze
14740,Japan,JPN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
14741,Japan,JPN,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
14742,Japan,JPN,1998 Winter,1998,Winter,Nagano,Speed Skating,Speed Skating Men's 500 metres,Gold
14743,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Men's 500 metres,Silver
14747,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Silver
14748,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Silver
14749,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
14753,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Silver
14754,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
14757,Japan,JPN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
14759,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Heavyweight,Gold
14760,Japan,JPN,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Heavyweight,Gold
14761,Japan,JPN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze
